Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
23-24;9;Championat de France;Exterieur;Victoire;Roche Vendée;Capitaine;Starter;K. Elenga;24;50;0,83;24,83;2;9;0,222222222;2;5;0,4;0;4;0;0;0;;;;;;;;;4;2;1;3;3;2;3;0;1;3;1;14;4;18;K. Elenga(C)
23-24;9;Championat de France;Exterieur;Victoire;Roche Vendée;;Starter;L. Lacan;33;51;0,85;33,85;7;13;0,538461538;3;6;0,5;4;7;0,571428571;0;0;;;;;;;;;18;1;7;8;4;2;5;0;0;2;1;18;27;32;L. Lacan
23-24;9;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;A. Merceron;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4;A. Merceron
23-24;9;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;N. Fofana;16;1;0,02;16,02;4;9;0,444444444;4;7;0,571428571;0;2;0;0;0;;;;;;;;;8;2;1;3;1;0;1;0;0;2;2;3;8;7;N. Fofana
23-24;9;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;M. Dursus;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;M. Dursus
23-24;9;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;I. Arrondo;10;56;0,93;10,93;2;4;0,5;2;4;0,5;0;0;;0;0;;;;;;;;;4;1;0;1;4;2;0;0;0;1;0;-1;5;9;I. Arrondo
23-24;9;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;O. Monpierre;15;17;0,28;15,28;1;1;1;1;1;1;0;0;;0;0;;;;;;;;;2;0;2;2;2;1;0;0;0;2;0;7;5;31;O. Monpierre
23-24;9;Championat de France;Exterieur;Victoire;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;28;67;0,417910448;23;45;0,511111111;5;22;0,227272727;12;14;0,857142857;22;32;10;9;14;25;21;73;12;30;42;23;17;15;0;1;14;15;0;95;;TOTAUX EQUIPE
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Starter;J. Wojta;21;17;0,28;21,28;2;6;0,333333333;2;6;0,333333333;0;0;;1;1;1;;;;;;;;5;1;5;6;2;1;0;0;0;3;2;17;8;2;J. Wojta
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Starter;M. Kaba;24;57;0,95;24,95;7;16;0,4375;7;14;0,5;0;2;0;1;2;0,5;;;;;;;;15;5;4;9;2;2;3;0;0;4;3;24;17;5;M. Kaba
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Starter;J. Bailey;27;52;0,87;27,87;5;10;0,5;2;4;0,5;3;6;0,5;1;3;0,333333333;;;;;;;;14;1;6;7;4;0;1;0;0;0;3;22;19;10;J. Bailey
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;Capitaine;Starter;K. Elenga;29;6;0,1;29,1;6;10;0,6;2;4;0,5;4;6;0,666666667;2;2;1;;;;;;;;18;1;0;1;3;0;2;0;0;2;1;23;20;18;K. Elenga(C)
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Starter;L. Lacan;26;26;0,43;26,43;4;11;0,363636364;4;8;0,5;0;3;0;1;3;0,333333333;;;;;;;;9;2;0;2;7;2;4;1;0;0;5;22;12;32;L. Lacan
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;A. Merceron;15;28;0,47;15,47;4;5;0,8;4;5;0,8;0;0;;1;1;1;;;;;;;;9;0;1;1;2;0;0;0;0;1;1;14;11;4;A. Merceron
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;N. Fofana;20;30;0,5;20,5;8;11;0,727272727;6;8;0,75;2;3;0,666666667;0;0;;;;;;;;;18;1;4;5;2;1;1;0;1;1;0;25;22;7;N. Fofana
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;M. Dursus;4;4;0,07;4,07;1;2;0,5;1;1;1;0;1;0;0;0;;;;;;;;;2;0;0;0;0;1;0;0;0;1;0;-1;0;8;M. Dursus
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;I. Arrondo;13;20;0,33;13,33;1;1;1;0;0;;1;1;1;0;0;;;;;;;;;3;1;0;1;2;2;1;0;0;1;0;25;5;9;I. Arrondo
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;C. Perdriau;1;38;0,63;1,63;1;1;1;1;1;1;0;0;;0;0;;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;2;2;14;C. Perdriau
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;O. Monpierre;15;22;0,37;15,37;1;2;0,5;1;1;1;0;1;0;2;2;1;;;;;;;;4;1;0;1;4;1;4;0;0;0;2;17;11;31;O. Monpierre
23-24;10;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;TOTAUX EQUIPE;;;;;40;75;0,533333333;30;52;0,576923077;10;23;0,434782609;9;14;0,642857143;25;48;15;27;38;40;11;99;14;20;34;28;12;16;1;1;13;17;0;126;;TOTAUX EQUIPE
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Starter;J. Wojta;28;7;0,12;28,12;5;14;0,357142857;5;12;0,416666667;0;2;0;0;1;0;;;;;;;;10;1;3;4;1;2;0;0;1;5;2;-3;3;2;J. Wojta
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Starter;M. Kaba;35;25;0,42;35,42;7;15;0,466666667;7;14;0,5;0;1;0;3;4;0,75;;;;;;;;17;3;8;11;0;4;2;1;2;2;4;-8;18;5;M. Kaba
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Starter;J. Bailey;34;18;0,3;34,3;0;5;0;0;3;0;0;2;0;0;0;;;;;;;;;0;4;3;7;4;2;1;0;1;5;2;-4;5;10;J. Bailey
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;Capitaine;Starter;K. Elenga;30;9;0,15;30,15;4;12;0,333333333;2;6;0,333333333;2;6;0,333333333;0;1;0;;;;;;;;10;3;5;8;3;4;2;0;0;3;2;-2;10;18;K. Elenga(C)
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Starter;L. Lacan;26;20;0,33;26,33;2;11;0,181818182;2;7;0,285714286;0;4;0;2;2;1;;;;;;;;6;1;0;1;3;1;3;0;0;2;2;-13;3;32;L. Lacan
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Banc;A. Merceron;3;12;0,2;3,2;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;4;A. Merceron
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Banc;N. Fofana;12;55;0,92;12,92;1;6;0,166666667;0;4;0;1;2;0,5;0;2;0;;;;;;;;3;1;2;3;0;0;0;1;0;2;1;-4;0;7;N. Fofana
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Banc;M. Dursus;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;M. Dursus
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Banc;I. Arrondo;14;46;0,77;14,77;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;1;0;0;0;0;0;2;-8;0;9;I. Arrondo
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Banc;O. Monpierre;14;47;0,78;14,78;1;3;0,333333333;0;1;0;1;2;0,5;0;0;;;;;;;;;3;0;2;2;2;1;0;0;0;2;0;1;4;31;O. Monpierre
23-24;11;Championat de France;Exterieur;Defaite;Tarbes;;Banc;TOTAUX EQUIPE;;;;;20;67;0,298507463;16;48;0,333333333;4;19;0,210526316;5;10;0,5;17;26;6;7;6;3;5;49;17;27;44;14;17;8;2;4;21;15;0;48;;TOTAUX EQUIPE
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;J. Wojta;34;16;0,27;34,27;3;10;0,3;3;7;0,428571429;0;3;0;0;0;;;;;;;;;6;1;6;7;5;1;1;0;0;3;1;7;11;2;J. Wojta
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;M. Kaba;29;43;0,72;29,72;7;12;0,583333333;7;12;0,583333333;0;0;;7;9;0,777777778;;;;;;;;21;1;5;6;6;5;1;2;0;3;6;13;24;5;M. Kaba
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;B. Dietrick;38;15;0,25;38,25;7;13;0,538461538;2;5;0,4;5;8;0,625;0;0;;;;;;;;;19;2;2;4;8;4;1;0;1;0;1;20;22;11;B. Dietrick
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;Capitaine;Starter;K. Elenga;28;29;0,48;28,48;4;11;0,363636364;3;5;0,6;1;6;0,166666667;1;2;0,5;;;;;;;;10;0;5;5;1;0;2;0;0;2;1;18;10;18;K. Elenga(C)
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;O. Monpierre;24;9;0,15;24,15;3;6;0,5;3;4;0,75;0;2;0;7;7;1;;;;;;;;13;3;3;6;3;0;1;0;0;1;4;15;20;31;O. Monpierre
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;A. Merceron;20;10;0,17;20,17;1;1;1;1;1;1;0;0;;0;1;0;;;;;;;;2;0;3;3;0;1;1;0;0;1;2;5;4;4;A. Merceron
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;N. Fofana;17;6;0,1;17,1;2;5;0,4;2;4;0,5;0;1;0;2;2;1;;;;;;;;6;0;2;2;1;0;0;0;0;2;1;0;6;7;N. Fofana
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;M. Dursus;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;M. Dursus
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;I. Arrondo;7;52;0,87;7,87;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;1;1;0;0;0;3;0;2;1;9;I. Arrondo
23-24;12;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;TOTAUX EQUIPE;;;;;27;58;0,465517241;21;38;0,552631579;6;20;0,3;17;21;0,80952381;13;36;14;14;8;16;12;77;9;28;37;25;12;7;2;1;15;16;0;101;;TOTAUX EQUIPE
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Starter;J. Wojta;36;2;0,03;36,03;4;9;0,444444444;3;8;0,375;1;1;1;2;4;0,5;;;;;;;;11;3;6;9;4;2;1;0;0;1;4;-14;16;2;J. Wojta
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Starter;M. Kaba;37;15;0,25;37,25;8;13;0,615384615;7;11;0,636363636;1;2;0,5;4;4;1;;;;;;;;21;2;4;6;4;1;1;0;0;4;4;-17;26;5;M. Kaba
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Starter;B. Dietrick;35;2;0,03;35,03;4;11;0,363636364;3;7;0,428571429;1;4;0,25;0;0;;;;;;;;;9;0;4;4;4;4;1;0;0;3;2;-5;7;11;B. Dietrick
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;Capitaine;Starter;K. Elenga;34;11;0,18;34,18;5;14;0,357142857;4;8;0,5;1;6;0,166666667;0;0;;;;;;;;;11;0;5;5;3;3;0;1;0;2;1;-25;8;18;K. Elenga(C)
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Starter;O. Monpierre;26;21;0,35;26,35;3;8;0,375;2;4;0,5;1;4;0,25;2;2;1;;;;;;;;9;2;1;3;4;5;2;0;0;2;2;-14;8;31;O. Monpierre
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Banc;A. Merceron;11;17;0,28;11,28;2;2;1;2;2;1;0;0;;1;2;0,5;;;;;;;;5;0;1;1;0;0;0;0;0;2;2;3;5;4;A. Merceron
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Banc;N. Fofana;6;31;0,52;6,52;0;4;0;0;3;0;0;1;0;0;0;;;;;;;;;0;1;1;2;0;0;0;0;0;3;1;8;-2;7;N. Fofana
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Banc;M. Dursus;0;40;0,67;0,67;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-3;-1;8;M. Dursus
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Banc;I. Arrondo;11;21;0,35;11,35;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;0;0;0;2;0;0;0;0;2;1;-7;0;9;I. Arrondo
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Banc;M. Ounounou;0;40;0,67;0,67;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-3;0;13;M. Ounounou
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Banc;C. Perdriau;0;40;0,67;0,67;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;-3;-1;14;C. Perdriau
23-24;13;Championat de France;Domicile;Defaite;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;26;64;0,40625;21;44;0,477272727;5;20;0,25;9;12;0,75;5;38;3;10;5;12;11;66;10;24;34;21;16;5;1;0;19;17;0;70;;TOTAUX EQUIPE
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;J. Wojta;30;57;0,95;30,95;5;13;0,384615385;5;10;0,5;0;3;0;0;0;;;;;;;;;10;1;8;9;9;1;1;0;2;0;1;-11;20;2;J. Wojta
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;M. Kaba;29;22;0,37;29,37;3;10;0,3;3;10;0,3;0;0;;0;0;;;;;;;;;6;0;2;2;1;6;0;0;0;2;1;-15;-4;5;M. Kaba
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;J. Bailey;34;22;0,37;34,37;3;8;0,375;1;4;0,25;2;4;0,5;7;10;0,7;;;;;;;;15;0;5;5;3;2;1;0;1;5;6;-20;14;10;J. Bailey
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;B. Dietrick;26;19;0,32;26,32;4;7;0,571428571;2;5;0,4;2;2;1;2;2;1;;;;;;;;12;0;1;1;4;5;2;0;0;5;1;-5;11;11;B. Dietrick
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;Capitaine;Starter;K. Elenga;34;50;0,83;34,83;4;8;0,5;3;5;0,6;1;3;0,333333333;4;5;0,8;;;;;;;;13;0;4;4;2;1;0;0;1;4;4;2;13;18;K. Elenga(C)
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;A. Merceron;8;32;0,53;8,53;2;3;0,666666667;2;3;0,666666667;0;0;;1;2;0,5;;;;;;;;5;1;2;3;0;0;0;0;0;0;1;8;6;4;A. Merceron
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;N. Fofana;15;2;0,03;15,03;2;5;0,4;1;3;0,333333333;1;2;0,5;0;0;;;;;;;;;5;0;2;2;0;1;0;0;0;1;0;-12;3;7;N. Fofana
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;M. Dursus;3;10;0,17;3,17;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;0;0;-3;0;8;M. Dursus
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;C. Perdriau;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;C. Perdriau
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;O. Monpierre;17;26;0,43;17,43;2;4;0,5;1;2;0,5;1;2;0,5;0;0;;;;;;;;;5;3;0;3;2;3;0;0;0;0;0;-9;5;31;O. Monpierre
23-24;14;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;25;59;0,423728814;18;43;0,418604651;7;16;0,4375;14;19;0,736842105;11;30;7;12;15;9;8;71;8;29;37;21;19;4;0;4;17;14;0;75;;TOTAUX EQUIPE
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Starter;J. Wojta;24;6;0,1;24,1;2;5;0,4;2;5;0,4;0;0;;2;4;0,5;;;;;;;;6;1;8;9;0;1;1;0;0;2;2;7;10;2;J. Wojta
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Starter;M. Kaba;34;57;0,95;34,95;3;16;0,1875;3;14;0,214285714;0;2;0;8;12;0,666666667;;;;;;;;14;5;5;10;3;4;2;1;0;2;7;-7;9;5;M. Kaba
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Starter;J. Bailey;36;39;0,65;36,65;6;14;0,428571429;4;7;0,571428571;2;7;0,285714286;8;10;0,8;;;;;;;;22;3;4;7;4;4;4;0;0;4;6;-2;23;10;J. Bailey
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Starter;B. Dietrick;37;0;0;37;4;13;0,307692308;2;8;0,25;2;5;0,4;2;2;1;;;;;;;;12;0;3;3;7;1;0;0;2;3;1;0;12;11;B. Dietrick
23-24;15;Championat de France;Domicile;Defaite;Landerneau;Capitaine;Starter;K. Elenga;36;23;0,38;36,38;5;11;0,454545455;3;8;0,375;2;3;0,666666667;3;3;1;;;;;;;;15;0;4;4;2;1;1;1;0;3;3;5;16;18;K. Elenga(C)
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Banc;A. Merceron;6;17;0,28;6,28;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;0;1;1;1;0;0;0;0;1;0;0;1;4;A. Merceron
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Banc;N. Fofana;7;25;0,42;7,42;1;2;0,5;1;1;1;0;1;0;0;0;;;;;;;;;2;0;1;1;0;1;0;0;0;0;0;-9;1;7;N. Fofana
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Banc;M. Dursus;0;10;0,17;0,17;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;2;0;-2;0;8;M. Dursus
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Banc;I. Arrondo;3;2;0,03;3,03;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;1;-1;9;I. Arrondo
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Banc;M. Ounounou;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;13;M. Ounounou
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Banc;C. Perdriau;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;C. Perdriau
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Banc;O. Monpierre;14;1;0,02;14,02;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;2;0;2;0;1;0;0;0;3;0;-3;-1;31;O. Monpierre
23-24;15;Championat de France;Domicile;Defaite;Landerneau;;Banc;TOTAUX EQUIPE;;;;;21;64;0,328125;15;44;0,340909091;6;20;0,3;23;31;0,741935484;15;22;10;7;2;12;12;71;13;27;40;17;14;8;2;2;20;19;0;73;;TOTAUX EQUIPE
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;J. Wojta;21;18;0,3;21,3;1;5;0,2;1;4;0,25;0;1;0;3;4;0,75;;;;;;;;5;0;2;2;0;1;2;0;0;0;3;-28;3;2;J. Wojta
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;M. Kaba;26;10;0,17;26,17;5;11;0,454545455;5;9;0,555555556;0;2;0;0;0;;;;;;;;;10;0;5;5;1;4;0;0;0;0;2;-31;6;5;M. Kaba
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;J. Bailey;27;56;0,93;27,93;1;5;0,2;1;3;0,333333333;0;2;0;2;2;1;;;;;;;;4;1;1;2;3;2;1;0;0;3;2;-39;4;10;J. Bailey
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;Capitaine;Starter;K. Elenga;22;53;0,88;22,88;4;12;0,333333333;2;7;0,285714286;2;5;0,4;3;4;0,75;;;;;;;;13;1;0;1;1;1;0;0;0;1;3;-24;5;18;K. Elenga(C)
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;O. Monpierre;22;5;0,08;22,08;3;6;0,5;3;4;0,75;0;2;0;0;0;;;;;;;;;6;1;2;3;4;1;1;1;0;2;1;-23;11;31;O. Monpierre
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;A. Merceron;15;0;0;15;1;4;0,25;1;3;0,333333333;0;1;0;0;0;;;;;;;;;2;2;1;3;0;2;0;0;0;2;0;-6;0;4;A. Merceron
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;N. Fofana;21;17;0,28;21,28;2;6;0,333333333;1;5;0,2;1;1;1;0;0;;;;;;;;;5;1;1;2;2;0;0;0;0;2;0;-18;5;7;N. Fofana
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;M. Dursus;18;15;0,25;18,25;4;8;0,5;2;3;0,666666667;2;5;0,4;1;2;0,5;;;;;;;;11;1;0;1;3;2;2;0;0;4;3;-15;10;8;M. Dursus
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;I. Arrondo;14;51;0,85;14,85;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;1;1;2;1;4;0;0;0;1;1;-11;-1;9;I. Arrondo
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;L. Lacan;10;14;0,23;10,23;2;4;0,5;1;2;0,5;1;2;0,5;5;5;1;;;;;;;;10;0;0;0;1;0;2;0;0;2;4;-5;11;32;L. Lacan
23-24;16;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;23;61;0,37704918;17;40;0,425;6;21;0,285714286;14;17;0,823529412;19;26;0;9;28;3;10;66;9;15;24;16;18;8;1;0;17;19;0;56;;TOTAUX EQUIPE
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Starter;J. Wojta;29;5;0,08;29,08;1;6;0,166666667;0;4;0;1;2;0,5;3;4;0,75;;;;;;;;6;4;3;7;1;1;3;0;0;0;4;1;10;2;J. Wojta
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Starter;M. Kaba;28;23;0,38;28,38;1;7;0,142857143;1;6;0,166666667;0;1;0;2;2;1;;;;;;;;4;3;1;4;1;3;0;0;1;1;1;6;0;5;M. Kaba
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Starter;J. Bailey;30;44;0,73;30,73;5;11;0,454545455;2;3;0,666666667;3;8;0,375;0;0;;;;;;;;;13;5;6;11;5;5;4;0;0;1;2;13;22;10;J. Bailey
23-24;17;Championat de France;Domicile;Victoire;Charnay;Capitaine;Starter;K. Elenga;27;44;0,73;27,73;3;7;0,428571429;0;2;0;3;5;0,6;3;6;0,5;;;;;;;;12;2;5;7;0;2;0;1;0;2;4;14;11;18;K. Elenga(C)
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Starter;O. Monpierre;5;42;0,7;5,7;1;3;0,333333333;1;3;0,333333333;0;0;;2;2;1;;;;;;;;4;0;0;0;0;1;0;0;0;4;1;-7;1;31;O. Monpierre
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Banc;A. Merceron;3;26;0,43;3,43;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;2;2;0;0;0;0;0;1;1;-3;2;4;A. Merceron
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Banc;N. Fofana;19;1;0,02;19,02;2;5;0,4;2;4;0,5;0;1;0;2;5;0,4;;;;;;;;6;1;1;2;2;1;0;1;0;1;3;5;4;7;N. Fofana
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Banc;M. Dursus;15;27;0,45;15,45;3;8;0,375;2;6;0,333333333;1;2;0,5;2;2;1;;;;;;;;9;1;0;1;0;0;1;0;0;1;1;1;6;8;M. Dursus
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Banc;I. Arrondo;11;8;0,13;11,13;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;2;0;2;3;1;0;0;0;0;1;0;4;9;I. Arrondo
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Banc;C. Perdriau;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;C. Perdriau
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Banc;L. Lacan;29;21;0,35;29,35;5;15;0,333333333;4;9;0,444444444;1;6;0,166666667;4;4;1;;;;;;;;15;1;2;3;6;5;3;0;0;4;4;5;12;32;L. Lacan
23-24;17;Championat de France;Domicile;Victoire;Charnay;;Banc;TOTAUX EQUIPE;;;;;21;62;0,338709677;12;37;0,324324324;9;25;0,36;18;25;0,72;13;20;12;5;30;21;9;69;21;21;42;18;19;11;2;1;15;22;0;75;;TOTAUX EQUIPE
23-24;18;Championat de France;Exterieur;Victoire;Lattes Montpellier;;Starter;J. Wojta;23;57;0,95;23,95;3;8;0,375;2;6;0,333333333;1;2;0,5;0;0;;;;;;;;;7;3;5;8;6;1;3;0;0;2;2;16;18;2;J. Wojta
23-24;18;Championat de France;Exterieur;Victoire;Lattes Montpellier;;Starter;M. Kaba;27;5;0,08;27,08;0;7;0;0;7;0;0;0;;2;2;1;;;;;;;;2;1;2;3;2;5;0;2;0;2;2;7;-3;5;M. Kaba
23-24;18;Championat de France;Exterieur;Victoire;Lattes Montpellier;;Starter;J. Bailey;33;49;0,82;33,82;1;8;0,125;0;2;0;1;6;0,166666667;0;0;;;;;;;;;3;2;9;11;1;0;1;0;0;2;0;14;9;10;J. Bailey
23-24;18;Championat de France;Exterieur;Victoire;Lattes Montpellier;Capitaine;Starter;K. Elenga;21;50;0,83;21,83;4;9;0,444444444;2;3;0,666666667;2;6;0,333333333;0;0;;;;;;;;;10;0;1;1;3;0;0;0;1;2;0;16;9;18;K. Elenga(C)
23-24;18;Championat de France;Exterieur;Victoire;Lattes Montpellier;;Starter;O. Monpierre;18;60;1;19;3;9;0,333333333;3;6;0,5;0;3;0;0;0;;;;;;;;;6;1;1;2;2;2;0;0;0;0;1;2;2;31;O. Monpierre
23-24;18;Championat de France;Exterieur;Victoire;Lattes Montpellier;;Banc;A. Merceron;6;36;0,6;6,6;2;3;0,666666667;2;3;0,666666667;0;0;;0;0;;;;;;;;;4;0;1;1;1;0;0;0;0;1;0;6;5;4;A. Merceron
23-24;18;Championat de France;Exterieur;Victoire;Lattes Montpellier;;Banc;N. Fofana;19;1;0,02;19,02;4;7;0,571428571;3;6;0,5;1;1;1;0;0;;;;;;;;;9;1;3;4;1;0;0;0;0;1;1;-1;11;7;N. Fofana
